lead_id,team_name,user_name,user_email,customer_name,customer_email,customer_phone,customer_cpf,source,subject,lead_created_at,first_interaction_at,negotiation_importance,negotiation_stage,negotiation_status,is_open,negotiation_created_at,negotiation_updated_at,finalization_reason
185,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 185,cliente_185@provedor.com.br,11930013791,95293756935,Instagram,Interesse no Produto Ref: 4715,2025-05-02 03:47:35,2025-05-02 03:54:35,quente,Teste drive,Em negociação,TRUE,2025-05-02 03:47:35,2025-05-14 03:54:35,
186,Equipe Caçapava,Consultor 13,consultor13@empresa.com.br,Cliente Exemplo 186,cliente_186@provedor.com.br,11991258091,22126866231,Mercado Livre,Interesse no Produto Ref: 1656,2025-09-26 11:07:35,2025-09-26 13:21:35,frio,Contato inicial,Finalizado com venda,FALSE,2025-09-26 11:07:35,2025-10-04 13:21:35,Sucesso / Venda Concluída
187,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 187,cliente_187@provedor.com.br,11947367922,31015086016,Loja Física,Interesse no Produto Ref: 9905,2025-03-30 19:20:35,2025-03-30 21:07:35,morno,Aguardando pagamento,Em negociação,TRUE,2025-03-30 19:20:35,2025-03-30 21:07:35,
188,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 188,cliente_188@provedor.com.br,11965203185,71126604453,Instagram,Interesse no Produto Ref: 8822,2026-01-30 00:49:35,2026-01-30 03:51:35,frio,Aguardando resposta do cliente,Em negociação,TRUE,2026-01-30 00:49:35,2026-02-06 03:51:35,
189,Equipe Caçapava,Consultor 03,consultor3@empresa.com.br,Cliente Exemplo 189,cliente_189@provedor.com.br,11941831415,49226527749,Facebook,Interesse no Produto Ref: 6980,2025-09-04 21:50:35,2025-09-05 00:29:35,frio,Enviou proposta,Finalizado com venda,FALSE,2025-09-04 21:50:35,2025-09-14 00:29:35,Sucesso / Venda Concluída
190,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 190,cliente_190@provedor.com.br,11919639521,45291880457,Indicação,Interesse no Produto Ref: 6913,2025-12-04 04:10:35,2025-12-04 08:47:35,morno,Teste drive,Finalizado com venda,FALSE,2025-12-04 04:10:35,2025-12-18 08:47:35,Sucesso / Venda Concluída
191,Equipe Caçapava,Consultor 06,consultor6@empresa.com.br,Cliente Exemplo 191,cliente_191@provedor.com.br,11931723572,38235966787,Loja Física,Interesse no Produto Ref: 9716,2025-09-13 23:26:35,2025-09-14 00:40:35,frio,Teste drive,Finalizado sem venda,FALSE,2025-09-13 23:26:35,2025-09-19 00:40:35,Comprou em outra loja
192,Equipe PA,Consultor 04,consultor4@empresa.com.br,Cliente Exemplo 192,cliente_192@provedor.com.br,11910280814,84121226816,Mercado Livre,Interesse no Produto Ref: 4499,2026-02-27 17:15:35,2026-02-27 21:07:35,quente,Enviou proposta,Em negociação,TRUE,2026-02-27 17:15:35,2026-02-28 21:07:35,
193,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 193,cliente_193@provedor.com.br,11918810857,77907020217,Loja Física,Interesse no Produto Ref: 2144,2026-02-08 10:01:35,2026-02-08 13:20:35,morno,Aguardando pagamento,Aberto,TRUE,2026-02-08 10:01:35,2026-02-18 13:20:35,
194,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 194,cliente_194@provedor.com.br,11911931798,06683354558,Mercado Livre,Interesse no Produto Ref: 4805,2025-06-27 09:20:35,2025-06-27 10:42:35,frio,Contato inicial,Finalizado sem venda,FALSE,2025-06-27 09:20:35,2025-07-01 10:42:35,Preço
195,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 195,cliente_195@provedor.com.br,11953227256,53468182937,WhatsApp,Interesse no Produto Ref: 7584,2025-12-08 01:24:35,2025-12-08 06:05:35,frio,Enviou proposta,Finalizado com venda,FALSE,2025-12-08 01:24:35,2025-12-17 06:05:35,Sucesso / Venda Concluída
196,Equipe SJC,Consultor 11,consultor11@empresa.com.br,Cliente Exemplo 196,cliente_196@provedor.com.br,11998523026,32491667224,WhatsApp,Interesse no Produto Ref: 6540,2025-09-12 12:00:35,2025-09-12 12:50:35,morno,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2025-09-12 12:00:35,2025-09-20 12:50:35,Falta de contato
197,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 197,cliente_197@provedor.com.br,11959613241,80370468190,Instagram,Interesse no Produto Ref: 2164,2026-01-24 15:34:35,2026-01-24 19:24:35,quente,Aguardando resposta do cliente,Em negociação,TRUE,2026-01-24 15:34:35,2026-02-08 19:24:35,
198,Equipe Caçapava,Consultor 07,consultor7@empresa.com.br,Cliente Exemplo 198,cliente_198@provedor.com.br,11999258342,61056544975,Instagram,Interesse no Produto Ref: 6533,2026-02-27 19:03:35,2026-02-27 23:49:35,morno,Aguardando resposta do cliente,Em negociação,TRUE,2026-02-27 19:03:35,2026-03-13 23:49:35,
199,Equipe PA,Consultor 18,consultor18@empresa.com.br,Cliente Exemplo 199,cliente_199@provedor.com.br,11920151445,06216758614,Indicação,Interesse no Produto Ref: 8442,2025-11-16 02:52:35,2025-11-16 03:53:35,morno,Aguardando pagamento,Finalizado sem venda,FALSE,2025-11-16 02:52:35,2025-11-23 03:53:35,Falta de contato
200,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 200,cliente_200@provedor.com.br,11983672613,02753518847,Indicação,Interesse no Produto Ref: 4035,2026-01-05 09:46:35,2026-01-05 10:14:35,frio,Aguardando pagamento,Finalizado com venda,FALSE,2026-01-05 09:46:35,2026-01-08 10:14:35,Sucesso / Venda Concluída
201,Equipe PA,Consultor 04,consultor4@empresa.com.br,Cliente Exemplo 201,cliente_201@provedor.com.br,11943350197,46092648890,Instagram,Interesse no Produto Ref: 4602,2025-06-26 03:21:35,2025-06-26 06:48:35,frio,Aguardando pagamento,Aberto,TRUE,2025-06-26 03:21:35,2025-06-29 06:48:35,
202,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 202,cliente_202@provedor.com.br,11945806379,35046503880,Indicação,Interesse no Produto Ref: 8313,2025-04-01 02:32:35,2025-04-01 07:28:35,frio,Enviou proposta,Aberto,TRUE,2025-04-01 02:32:35,2025-04-13 07:28:35,
203,Equipe PA,Consultor 04,consultor4@empresa.com.br,Cliente Exemplo 203,cliente_203@provedor.com.br,11914420337,31687992980,Facebook,Interesse no Produto Ref: 6251,2026-01-19 21:43:35,2026-01-19 22:50:35,quente,Teste drive,Finalizado sem venda,FALSE,2026-01-19 21:43:35,2026-01-24 22:50:35,Comprou em outra loja
204,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 204,cliente_204@provedor.com.br,11993557089,30806169230,Instagram,Interesse no Produto Ref: 5387,2025-08-18 07:55:35,2025-08-18 10:13:35,morno,Enviou proposta,Finalizado com venda,FALSE,2025-08-18 07:55:35,2025-08-27 10:13:35,Sucesso / Venda Concluída
205,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 205,cliente_205@provedor.com.br,11907970074,27062199901,Loja Física,Interesse no Produto Ref: 2548,2025-10-15 11:51:35,2025-10-15 14:10:35,quente,Contato inicial,Aberto,TRUE,2025-10-15 11:51:35,2025-10-22 14:10:35,
206,Equipe SJC,Consultor 11,consultor11@empresa.com.br,Cliente Exemplo 206,cliente_206@provedor.com.br,11914189845,87896991310,Loja Física,Interesse no Produto Ref: 1153,2025-07-17 23:09:35,2025-07-18 01:06:35,morno,Teste drive,Em negociação,TRUE,2025-07-17 23:09:35,2025-07-20 01:06:35,
207,Equipe PA,Consultor 17,consultor17@empresa.com.br,Cliente Exemplo 207,cliente_207@provedor.com.br,11929566742,85357647743,Facebook,Interesse no Produto Ref: 6519,2026-01-25 17:40:35,2026-01-25 20:54:35,quente,Enviou proposta,Aberto,TRUE,2026-01-25 17:40:35,2026-02-04 20:54:35,
208,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 208,cliente_208@provedor.com.br,11981744634,94069975546,WhatsApp,Interesse no Produto Ref: 8490,2025-12-20 22:55:35,2025-12-21 03:26:35,morno,Enviou proposta,Finalizado com venda,FALSE,2025-12-20 22:55:35,2026-01-02 03:26:35,Sucesso / Venda Concluída
209,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 209,cliente_209@provedor.com.br,11977336881,57357814361,Loja Física,Interesse no Produto Ref: 5437,2025-05-14 14:32:35,2025-05-14 17:46:35,morno,Contato inicial,Finalizado sem venda,FALSE,2025-05-14 14:32:35,2025-05-23 17:46:35,Preço
210,Equipe Caçapava,Consultor 06,consultor6@empresa.com.br,Cliente Exemplo 210,cliente_210@provedor.com.br,11978021764,72614807213,Instagram,Interesse no Produto Ref: 5624,2025-08-08 14:51:35,2025-08-08 19:48:35,morno,Enviou proposta,Em negociação,TRUE,2025-08-08 14:51:35,2025-08-19 19:48:35,
211,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 211,cliente_211@provedor.com.br,11932946668,30338378092,WhatsApp,Interesse no Produto Ref: 4755,2025-07-22 05:18:35,2025-07-22 09:32:35,quente,Aguardando pagamento,Finalizado sem venda,FALSE,2025-07-22 05:18:35,2025-07-30 09:32:35,Sem estoque
212,Equipe Caçapava,Consultor 09,consultor9@empresa.com.br,Cliente Exemplo 212,cliente_212@provedor.com.br,11958918833,26775870167,Facebook,Interesse no Produto Ref: 5332,2025-08-22 07:34:35,2025-08-22 08:40:35,quente,Contato inicial,Finalizado com venda,FALSE,2025-08-22 07:34:35,2025-09-03 08:40:35,Sucesso / Venda Concluída
213,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 213,cliente_213@provedor.com.br,11919004276,39116248562,Instagram,Interesse no Produto Ref: 4632,2025-10-23 01:45:35,2025-10-23 06:23:35,quente,Contato inicial,Aberto,TRUE,2025-10-23 01:45:35,2025-11-04 06:23:35,
214,Equipe Caçapava,Consultor 13,consultor13@empresa.com.br,Cliente Exemplo 214,cliente_214@provedor.com.br,11921771036,11128880200,Mercado Livre,Interesse no Produto Ref: 2160,2025-09-19 17:05:35,2025-09-19 20:01:35,morno,Contato inicial,Finalizado com venda,FALSE,2025-09-19 17:05:35,2025-09-19 20:01:35,Sucesso / Venda Concluída
215,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 215,cliente_215@provedor.com.br,11987427701,08436038526,WhatsApp,Interesse no Produto Ref: 8817,2025-12-01 23:31:35,2025-12-02 04:21:35,morno,Aguardando pagamento,Em negociação,TRUE,2025-12-01 23:31:35,2025-12-05 04:21:35,
216,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 216,cliente_216@provedor.com.br,11921546266,36053298639,Instagram,Interesse no Produto Ref: 9826,2025-12-13 00:20:35,2025-12-13 02:37:35,frio,Aguardando pagamento,Finalizado com venda,FALSE,2025-12-13 00:20:35,2025-12-27 02:37:35,Sucesso / Venda Concluída
217,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 217,cliente_217@provedor.com.br,11906338492,29918561894,Facebook,Interesse no Produto Ref: 9797,2025-08-15 08:02:35,2025-08-15 12:08:35,quente,Aguardando pagamento,Em negociação,TRUE,2025-08-15 08:02:35,2025-08-25 12:08:35,
218,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 218,cliente_218@provedor.com.br,11927581338,54411707134,Indicação,Interesse no Produto Ref: 4521,2026-01-17 13:58:35,2026-01-17 16:59:35,quente,Teste drive,Em negociação,TRUE,2026-01-17 13:58:35,2026-01-22 16:59:35,
219,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 219,cliente_219@provedor.com.br,11968448526,37606049003,Instagram,Interesse no Produto Ref: 4677,2026-02-25 01:58:35,2026-02-25 02:20:35,quente,Enviou proposta,Aberto,TRUE,2026-02-25 01:58:35,2026-03-02 02:20:35,
220,Equipe Caçapava,Consultor 09,consultor9@empresa.com.br,Cliente Exemplo 220,cliente_220@provedor.com.br,11959974354,24140355394,Facebook,Interesse no Produto Ref: 8256,2025-11-15 03:03:35,2025-11-15 04:31:35,quente,Aguardando pagamento,Em negociação,TRUE,2025-11-15 03:03:35,2025-11-23 04:31:35,
221,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 221,cliente_221@provedor.com.br,11961905016,64181902706,Indicação,Interesse no Produto Ref: 9193,2026-02-25 05:31:35,2026-02-25 05:56:35,quente,Aguardando resposta do cliente,Aberto,TRUE,2026-02-25 05:31:35,2026-03-08 05:56:35,
222,Equipe Caçapava,Consultor 15,consultor15@empresa.com.br,Cliente Exemplo 222,cliente_222@provedor.com.br,11977320172,47432923112,Facebook,Interesse no Produto Ref: 4746,2026-03-06 05:55:35,2026-03-06 07:28:35,quente,Aguardando resposta do cliente,Finalizado com venda,FALSE,2026-03-06 05:55:35,2026-03-08 07:28:35,Sucesso / Venda Concluída
223,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 223,cliente_223@provedor.com.br,11938627566,18359998632,Mercado Livre,Interesse no Produto Ref: 8345,2025-10-14 23:23:35,2025-10-14 23:54:35,morno,Teste drive,Finalizado sem venda,FALSE,2025-10-14 23:23:35,2025-10-24 23:54:35,Comprou em outra loja
224,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 224,cliente_224@provedor.com.br,11961739672,61261255035,Loja Física,Interesse no Produto Ref: 3994,2025-07-08 01:06:35,2025-07-08 04:50:35,frio,Contato inicial,Aberto,TRUE,2025-07-08 01:06:35,2025-07-16 04:50:35,
225,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 225,cliente_225@provedor.com.br,11915375082,92914648368,Loja Física,Interesse no Produto Ref: 6679,2025-08-14 18:27:35,2025-08-14 22:04:35,frio,Enviou proposta,Em negociação,TRUE,2025-08-14 18:27:35,2025-08-22 22:04:35,
226,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 226,cliente_226@provedor.com.br,11909931831,26054778667,Loja Física,Interesse no Produto Ref: 4158,2025-06-13 06:03:35,2025-06-13 08:53:35,morno,Teste drive,Finalizado sem venda,FALSE,2025-06-13 06:03:35,2025-06-20 08:53:35,Preço
227,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 227,cliente_227@provedor.com.br,11918150245,77867879396,Facebook,Interesse no Produto Ref: 4702,2026-01-22 04:11:35,2026-01-22 07:37:35,morno,Aguardando pagamento,Aberto,TRUE,2026-01-22 04:11:35,2026-02-06 07:37:35,
228,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 228,cliente_228@provedor.com.br,11915174092,46813009055,Facebook,Interesse no Produto Ref: 7934,2025-06-01 20:09:35,2025-06-01 21:42:35,quente,Contato inicial,Aberto,TRUE,2025-06-01 20:09:35,2025-06-02 21:42:35,
229,Equipe SJC,Consultor 11,consultor11@empresa.com.br,Cliente Exemplo 229,cliente_229@provedor.com.br,11991019426,02608529300,Mercado Livre,Interesse no Produto Ref: 7083,2025-11-27 17:05:35,2025-11-27 18:39:35,quente,Contato inicial,Finalizado sem venda,FALSE,2025-11-27 17:05:35,2025-12-01 18:39:35,Desistência
230,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 230,cliente_230@provedor.com.br,11947941626,56252163504,Loja Física,Interesse no Produto Ref: 5558,2025-08-12 17:27:35,2025-08-12 21:25:35,quente,Teste drive,Finalizado com venda,FALSE,2025-08-12 17:27:35,2025-08-19 21:25:35,Sucesso / Venda Concluída
231,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 231,cliente_231@provedor.com.br,11935483276,70254858167,Loja Física,Interesse no Produto Ref: 8042,2026-01-18 06:14:35,2026-01-18 07:58:35,frio,Teste drive,Finalizado com venda,FALSE,2026-01-18 06:14:35,2026-01-21 07:58:35,Sucesso / Venda Concluída
232,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 232,cliente_232@provedor.com.br,11938793970,49139033439,WhatsApp,Interesse no Produto Ref: 9645,2026-02-04 11:00:35,2026-02-04 13:40:35,morno,Aguardando pagamento,Aberto,TRUE,2026-02-04 11:00:35,2026-02-14 13:40:35,
233,Equipe PA,Consultor 04,consultor4@empresa.com.br,Cliente Exemplo 233,cliente_233@provedor.com.br,11951378434,93976483463,Loja Física,Interesse no Produto Ref: 7298,2025-11-04 10:55:35,2025-11-04 15:54:35,frio,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2025-11-04 10:55:35,2025-11-19 15:54:35,Preço
234,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 234,cliente_234@provedor.com.br,11902427161,06774835792,Facebook,Interesse no Produto Ref: 7164,2026-01-10 14:34:35,2026-01-10 15:44:35,morno,Aguardando resposta do cliente,Em negociação,TRUE,2026-01-10 14:34:35,2026-01-17 15:44:35,
235,Equipe PA,Consultor 04,consultor4@empresa.com.br,Cliente Exemplo 235,cliente_235@provedor.com.br,11949379163,32677962183,Indicação,Interesse no Produto Ref: 7982,2026-03-02 04:51:35,2026-03-02 06:39:35,quente,Aguardando resposta do cliente,Em negociação,TRUE,2026-03-02 04:51:35,2026-03-06 06:39:35,
236,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 236,cliente_236@provedor.com.br,11922524760,56192723626,Instagram,Interesse no Produto Ref: 1162,2025-04-12 18:39:35,2025-04-12 19:35:35,quente,Aguardando pagamento,Finalizado com venda,FALSE,2025-04-12 18:39:35,2025-04-16 19:35:35,Sucesso / Venda Concluída
237,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 237,cliente_237@provedor.com.br,11932166279,00756643129,Instagram,Interesse no Produto Ref: 8399,2025-04-06 03:51:35,2025-04-06 05:53:35,frio,Contato inicial,Aberto,TRUE,2025-04-06 03:51:35,2025-04-08 05:53:35,
238,Equipe Caçapava,Consultor 06,consultor6@empresa.com.br,Cliente Exemplo 238,cliente_238@provedor.com.br,11901658711,84484793608,WhatsApp,Interesse no Produto Ref: 7122,2025-09-22 11:48:35,2025-09-22 15:29:35,quente,Contato inicial,Em negociação,TRUE,2025-09-22 11:48:35,2025-09-22 15:29:35,
239,Equipe PA,Consultor 02,consultor2@empresa.com.br,Cliente Exemplo 239,cliente_239@provedor.com.br,11965890283,82446500457,Loja Física,Interesse no Produto Ref: 1404,2025-07-21 08:46:35,2025-07-21 09:08:35,morno,Aguardando pagamento,Finalizado sem venda,FALSE,2025-07-21 08:46:35,2025-08-04 09:08:35,Preço
240,Equipe Caçapava,Consultor 20,consultor20@empresa.com.br,Cliente Exemplo 240,cliente_240@provedor.com.br,11928197896,50434535622,WhatsApp,Interesse no Produto Ref: 9709,2025-08-19 11:27:35,2025-08-19 12:47:35,frio,Enviou proposta,Aberto,TRUE,2025-08-19 11:27:35,2025-08-28 12:47:35,
241,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 241,cliente_241@provedor.com.br,11994875806,50614834523,Mercado Livre,Interesse no Produto Ref: 3345,2026-03-10 03:45:35,2026-03-10 06:42:35,morno,Aguardando pagamento,Finalizado sem venda,FALSE,2026-03-10 03:45:35,2026-03-15 06:42:35,Falta de contato
242,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 242,cliente_242@provedor.com.br,11956126466,74504146728,Indicação,Interesse no Produto Ref: 7783,2026-01-10 22:41:35,2026-01-11 00:43:35,quente,Aguardando pagamento,Em negociação,TRUE,2026-01-10 22:41:35,2026-01-26 00:43:35,
243,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 243,cliente_243@provedor.com.br,11961012003,85419067466,Instagram,Interesse no Produto Ref: 6082,2025-06-09 16:24:35,2025-06-09 18:31:35,frio,Teste drive,Em negociação,TRUE,2025-06-09 16:24:35,2025-06-16 18:31:35,
244,Equipe Caçapava,Consultor 15,consultor15@empresa.com.br,Cliente Exemplo 244,cliente_244@provedor.com.br,11926411537,12564325110,WhatsApp,Interesse no Produto Ref: 2374,2025-09-24 18:09:35,2025-09-24 20:00:35,frio,Contato inicial,Finalizado sem venda,FALSE,2025-09-24 18:09:35,2025-10-03 20:00:35,Falta de contato
245,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 245,cliente_245@provedor.com.br,11988821876,47389498314,Loja Física,Interesse no Produto Ref: 7221,2026-03-17 10:54:35,2026-03-17 11:20:35,frio,Aguardando resposta do cliente,Em negociação,TRUE,2026-03-17 10:54:35,2026-04-01 11:20:35,
246,Equipe Caçapava,Consultor 03,consultor3@empresa.com.br,Cliente Exemplo 246,cliente_246@provedor.com.br,11922660547,62923161387,WhatsApp,Interesse no Produto Ref: 9009,2025-09-14 02:49:35,2025-09-14 07:32:35,quente,Contato inicial,Em negociação,TRUE,2025-09-14 02:49:35,2025-09-19 07:32:35,
247,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 247,cliente_247@provedor.com.br,11963181389,22926248583,WhatsApp,Interesse no Produto Ref: 2131,2025-06-02 14:17:35,2025-06-02 18:41:35,quente,Teste drive,Em negociação,TRUE,2025-06-02 14:17:35,2025-06-06 18:41:35,
248,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 248,cliente_248@provedor.com.br,11947792282,21908726228,Facebook,Interesse no Produto Ref: 9156,2026-01-31 15:17:35,2026-01-31 17:51:35,morno,Enviou proposta,Aberto,TRUE,2026-01-31 15:17:35,2026-02-10 17:51:35,
249,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 249,cliente_249@provedor.com.br,11949807691,50506789535,Facebook,Interesse no Produto Ref: 7155,2025-04-07 09:15:35,2025-04-07 11:55:35,morno,Contato inicial,Finalizado com venda,FALSE,2025-04-07 09:15:35,2025-04-09 11:55:35,Sucesso / Venda Concluída
250,Equipe PA,Consultor 10,consultor10@empresa.com.br,Cliente Exemplo 250,cliente_250@provedor.com.br,11963233028,90225239671,Indicação,Interesse no Produto Ref: 3708,2025-05-15 20:58:35,2025-05-15 23:03:35,frio,Aguardando resposta do cliente,Finalizado com venda,FALSE,2025-05-15 20:58:35,2025-05-24 23:03:35,Sucesso / Venda Concluída
251,Equipe Caçapava,Consultor 03,consultor3@empresa.com.br,Cliente Exemplo 251,cliente_251@provedor.com.br,11998572855,14198571340,Facebook,Interesse no Produto Ref: 2938,2025-05-27 09:11:35,2025-05-27 10:16:35,quente,Enviou proposta,Aberto,TRUE,2025-05-27 09:11:35,2025-06-04 10:16:35,
252,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 252,cliente_252@provedor.com.br,11982011100,07296162252,Mercado Livre,Interesse no Produto Ref: 8681,2026-01-17 20:25:35,2026-01-18 00:32:35,quente,Aguardando resposta do cliente,Aberto,TRUE,2026-01-17 20:25:35,2026-01-28 00:32:35,
253,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 253,cliente_253@provedor.com.br,11922414805,93908840249,WhatsApp,Interesse no Produto Ref: 4292,2025-05-10 07:14:35,2025-05-10 12:06:35,quente,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2025-05-10 07:14:35,2025-05-20 12:06:35,Sem estoque
254,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 254,cliente_254@provedor.com.br,11965531957,59891508954,WhatsApp,Interesse no Produto Ref: 9705,2025-10-18 05:29:35,2025-10-18 09:05:35,frio,Aguardando resposta do cliente,Aberto,TRUE,2025-10-18 05:29:35,2025-11-01 09:05:35,
255,Equipe SJC,Consultor 14,consultor14@empresa.com.br,Cliente Exemplo 255,cliente_255@provedor.com.br,11933787365,20227566184,WhatsApp,Interesse no Produto Ref: 8894,2025-07-21 11:56:35,2025-07-21 15:25:35,frio,Teste drive,Finalizado com venda,FALSE,2025-07-21 11:56:35,2025-07-24 15:25:35,Sucesso / Venda Concluída
256,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 256,cliente_256@provedor.com.br,11962966884,77344310141,Facebook,Interesse no Produto Ref: 5763,2025-08-08 02:33:35,2025-08-08 05:43:35,frio,Enviou proposta,Em negociação,TRUE,2025-08-08 02:33:35,2025-08-15 05:43:35,
257,Equipe PA,Consultor 17,consultor17@empresa.com.br,Cliente Exemplo 257,cliente_257@provedor.com.br,11990980792,68509813482,Facebook,Interesse no Produto Ref: 8353,2026-03-13 00:16:35,2026-03-13 04:58:35,frio,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2026-03-13 00:16:35,2026-03-28 04:58:35,Desistência
258,Equipe Caçapava,Consultor 15,consultor15@empresa.com.br,Cliente Exemplo 258,cliente_258@provedor.com.br,11986179676,21638256182,Indicação,Interesse no Produto Ref: 4765,2026-02-01 21:26:35,2026-02-02 01:31:35,quente,Aguardando pagamento,Aberto,TRUE,2026-02-01 21:26:35,2026-02-15 01:31:35,
259,Equipe Caçapava,Consultor 12,consultor12@empresa.com.br,Cliente Exemplo 259,cliente_259@provedor.com.br,11950790063,09577825891,WhatsApp,Interesse no Produto Ref: 1713,2025-12-03 08:12:35,2025-12-03 11:47:35,frio,Aguardando resposta do cliente,Finalizado sem venda,FALSE,2025-12-03 08:12:35,2025-12-04 11:47:35,Sem estoque
260,Equipe Caçapava,Consultor 08,consultor8@empresa.com.br,Cliente Exemplo 260,cliente_260@provedor.com.br,11926779045,83000860292,Loja Física,Interesse no Produto Ref: 6743,2025-11-23 06:29:35,2025-11-23 07:27:35,morno,Enviou proposta,Finalizado com venda,FALSE,2025-11-23 06:29:35,2025-11-27 07:27:35,Sucesso / Venda Concluída
261,Equipe SJC,Consultor 05,consultor5@empresa.com.br,Cliente Exemplo 261,cliente_261@provedor.com.br,11971375688,63089530140,WhatsApp,Interesse no Produto Ref: 1187,2025-09-25 13:20:35,2025-09-25 14:07:35,morno,Aguardando resposta do cliente,Finalizado com venda,FALSE,2025-09-25 13:20:35,2025-09-26 14:07:35,Sucesso / Venda Concluída
262,Equipe PA,Consultor 01,consultor1@empresa.com.br,Cliente Exemplo 262,cliente_262@provedor.com.br,11919586367,09976884851,Indicação,Interesse no Produto Ref: 6635,2025-06-22 05:54:35,2025-06-22 07:38:35,frio,Enviou proposta,Aberto,TRUE,2025-06-22 05:54:35,2025-06-29 07:38:35,
263,Equipe SJC,Consultor 16,consultor16@empresa.com.br,Cliente Exemplo 263,cliente_263@provedor.com.br,11959561085,02779381271,Facebook,Interesse no Produto Ref: 8494,2025-07-18 15:50:35,2025-07-18 16:32:35,quente,Contato inicial,Em negociação,TRUE,2025-07-18 15:50:35,2025-08-01 16:32:35,
264,Equipe Caçapava,Consultor 15,consultor15@empresa.com.br,Cliente Exemplo 264,cliente_264@provedor.com.br,11993308561,32890986946,Instagram,Interesse no Produto Ref: 5860,2025-12-22 22:44:35,2025-12-22 23:12:35,quente,Teste drive,Em negociação,TRUE,2025-12-22 22:44:35,2025-12-24 23:12:35,
265,Equipe Caçapava,Consultor 19,consultor19@empresa.com.br,Cliente Exemplo 265,cliente_265@provedor.com.br,11912526994,32488098045,Facebook,Interesse no Produto Ref: 6575,2026-03-06 17:41:35,2026-03-06 17:49:35,morno,Contato inicial,Finalizado sem venda,FALSE,2026-03-06 17:41:35,2026-03-17 17:49:35,Falta de contato
